title,artist,spotify_id,lyrics,bpm,energy,danceability,loudness,valence,rhyme_density,rhyme_density_old
PUZZLE,OHDAMRYUL,4TEpKetoQaIWyh2cyCRxHS,"Hey 숨은 증거를 찾아 두눈
부릅뜨고 해 방심은 금물
꾸물 꾸물 하다가는 놓쳐
내 그물에 작은 움직임 하나라도 포착
Hey, watch out, 절대 안 놓쳐
생각에 허우적 하다가 답이 번쩍
너의 실수에 난 삘이 꽂혀
내가 미소를 지을 땐 부디 못 본척
해야 할꺼야 난 널 찾아 낼꺼야
이 기다림 후에 답을 밝혀 낼꺼야
이거면 된거야 하고 안심할 땐
이미 내가 너의 뒤를 밟고 있네

Okay, I found it
수많은 증거 하나하나 counting
놓친 점이 없나 다시 rewind
생각 후에 내려놓고 pounding 가득 채운 뒤
트릭 안에 treat 어둠 속에 빛
가면 뒤 거짓말, 그림 안에 hill
그게 뭐가 됐던 찾아 내
정답을 맞춰야만 난 또 눈을 감아네",124.991,0.72,0.736,-10.587,0.421,0.3743,0.3228
MAGIC (feat. Blue.D),OHDAMRYUL,1vOuJ3hPxqh9Nr74K5JH7B,"널 본 순간 느낀
이 강한 이끌림은 처음 겪는 mystery (Mystery)
이 감정을 무시 못한채
네게 점점 빠져드는 나는 panic (Panic)
Woo, it's like magic
No chemical that's organic (Ha)
Not so romantic
난 새파란 줄 위에 개미
탈출하기엔 불가능한 mission
I'm so addicted to you

Oh wait, 더 빨라지는 music
함께 춤을 추는 이 공간은 maddness
Don't call it just a little seduction
마법같은 순간을 날아
사랑은 도망치다가도 잡히는 맘의 기억
하나 둘 셋 하면 손을 뻗는거야
We can make it shine 'cause we got magic",144.031,0.586,0.652,-8.281,0.554,0.2106,0.0848
Tender (feat. 이바다),OHDAMRYUL,7ppoqyMXlV6MiAWjYGK57Y,"좀 만 더 살갑게 날 대했음 좋겠단 말
많이도 말고 예전처럼 안아줘
우린 여기까지란 너의 모진말들 다
견딜테니 내 손을 잡아 줘
달라진 태도
바뀐 아이폰 배경
틀려버린 password
우린 어색해진 채로
실수하고 후회해 매번
이런 나 땜에 외로워
담부턴 잘할게 두배로, woah
난 너 아니면 안돼
내 잘못이야 미안해

좀 살갑게 웃어줄순 없니? (Oh-oh)
좋았던 그기억들은 다 잊어버린거니?
니가했던 차가운말도
액정안 이젠 널 지워도
니가없는 폰을 들춰내또
왜 모르는거야? Look at you
이제와서 뭘어떡해, baby?
너말곤 없는데
지우려 해봐도
엇갈려 timing
서운해진맘도
I like you, like you, like you
어떤말로 표현해야해
날그냥 안아줄래 넌 더
Baby, hold on tonight",160.912,0.935,0.268,-7.304,0.349,0.3251,0.2593
Promise,Wonstein,6PYyVPaD3pzSbrdQKEDHm6,"Keep in mind
I'm never gonna leave your life ever long
하루 종일 너의 마음 깊은 곳
계속 머물게 해 줘
언제라도, 어디에도
날 느낄 수 있게

You'll be okay (Ah)
난 너의 편이 돼 줄게, 언제나
지금처럼 가장 가까운 곳
네 곁에 있게 해 줘
너의 상처가 궁금해도
담아둘게

가끔 서툰 표현도 난 의심 안 할게
날 선 너의 단어도 이해할 수 있어
너의 눈빛이면 난 충분해
아무 말 안 해도 돼
너의 마음도, 너의 침묵도
느낄 수 있어",156.643,0.189,0.367,-15.736,0.177,0.2657,0.1673
everybody dies,Wonstein,4VjXB0bVNFiEQTi3tCDtU9,"아직 그녀는 내가
죽어가고 있다는 걸 몰라
사실 그녀도 빼박
내 곁에 묻힐 거란 건 몰라
다시 그녀 위로 올라타
다시 그녀는 날 위해 올라서
Mm-mm
Mm-mm, mm-mm
따지고 화낼 시간
없어 여행을 떠나
난 피곤하면 너의 만짐을
받고서 일어나
죄짓고 살아 we're lying to each other
비싼 차와 시계야 bonnie and clyde
Mm-mm
Mm-mm, mm-mm

시끄러운 alarm 소리
나는 아직 꿈에 있네
Hello, Mistress, hello, Mister
많은 일을 겪고 있네
창문을 열어젖혀
크게 외치고 싶어
너의 옆자리는 나의 꿈이 아닌
마지막이야 doom",93.887,0.377,0.851,-6.747,0.416,0.2749,0.2186
Valentine,Wonstein,3lgIAJyBSEF48IlcZ9ShnO,"늦은 아침은 역시 너와 나의
이케아 소파에서
햇살을 맞으며
살을 만지면
한 번도 쳐본 적이 없는
기타 멜로디가 나의 입에서
또?다른?방에서
우리 집 안에서

피곤할 테니까
큰 소릴 못 내지만
너를 보고 있는 나
너를 보고 있는 나
이건 내 문제니까
내일의 난 걱정 마
너를 보고 있는 나
이케아 소파에서

늦은 저녁에도 역시 너와 난
이케아 소파에서
인사를 나누며 잔을 기울여
한 번 더 느껴보고 싶은 너의 몸에
내 몸을 기대며
사랑을 속삭여
식을 때까지",144.58,0.385,0.568,-8.495,0.372,0.4894,0.4733
Leave it all behind,Wonstein,3z9HFAPJRMbMXAtG52P0FW,"불 꺼진 내 맘을
다 채우는 하늘
아무런 말 없어도
그저 흘러가는 날

어둠의 틈새로
바라보는?달빛도
살며시 나를 안아
그대로?그때로",109.047,0.349,0.533,-12.008,0.573,0.2698,0.254
Single,Wonstein,2M1M1f5fRlSw5rturoCZeA,"혼자일 때도 괜찮았었지
생각해 보면 조금 버거웠어
어찌할 수 없는 일들도 나 하나만
힘들면 되니까
시킨 음식이 다 식어서 와도
메뉴를 고를 필요도 없고
부족하면서도 많이 따져야 했던
때보다 편하잖아

어떤 관계로 남을지
전화 번호는 지울지 말지 고민하면서
마지막으로 묻고 싶은 게 있어
날 좋아하긴 했어
비가 쏟아져 와
그래 혼자인 게 나아
우산이 없어 젖어도
웃을 수 있어 난",127.997,0.665,0.503,-4.129,0.161,0.2934,0.2827
You Look So Good,Wonstein,0sUYhSR3QzINqCf6LJjaPo,"바람이 불어와, 널 감싸는 October (Ayy)
지붕이 없어도  무사히 잠들 수 있는
우린 밤이 되어서야 서로 곁에 있었단 걸
깨달은 듯해 마치 TV 속 밥 아저씨의 명언
저 달처럼 내 얼굴에 있는 creator
너만 보여 준 나의 모습 그대로
다 씻지도 못한 채로 입 맞추는
나 못났겠지

얼만큼 더 설명해 줘야 되니 넌
Just take a picture and I'm watching, 말했지, you a stunner (You a stunner)
이 상황을 뒤집어 버리고 싶어
하지만 그게 오히려 부담일테니 I shut up
피곤해 I'm sick, 나쁜 의미로
난 지우곤 해, 너로 가득한 phone
이번엔 휴지통도 다 비우고 살아 가겠지",77.406,0.746,0.542,-6.485,0.353,0.3493,0.2346
Love Song,Wonstein,7JF6USn1d7oBnjITCKtSHp,"넌 마치 피아노 위에
깜빡 졸고 있는
예쁜 멜로디 같애
깨워주고 싶다 가도
눈을 감고 있는 그 모습에
Oh, oh, oh, 너를 더 알고 싶어
들어봐 ABC, 아님 one, two, three
모든 걸 다 말해줄래
그럼 넌 let me see what I want to see
다 보여주고 싶어 보여줄 수 있어 넌

넌 그냥 흥얼거리기만 해
반주가 없어도
예쁜 아카펠라 song
계이름은 love you and love me back
손가락 튕기네
꿈이라면 자는 시간 아까워
잠깐만, time is still, 우리 편이지
빨리 갈 필요는 없지
그러면 let me be what I want to be
있는 그대로가 그대로가 좋아 넌",123.055,0.786,0.583,-3.142,0.573,0.2766,0.2615
The Secret Garden,Wonstein,2ykHau3Xffgjhm9zmKBILS,"바람을 타고 날아오르는
새들은 걱정 없이
아름다운 태양 속으로
음표가 되어 나네

향기 나는 연필로 쓴 일기처럼
숨겨두었던 마음
기댈 수 있는 어깨가 있어
비가 와도 젖지 않아

하루하루 조금씩 나아질 거야
그대가 지켜보니
힘을 내야지 행복해져야지
뒤뜰에 핀 꽃들처럼",70.003,0.0447,0.0636,-24.226,0.0331,0.2552,0.2429
Used (Feat. Jclef),Wonstein,21ow5U5u4cSfqAg7QlUZmJ,"두 번째 편지를 쓰고
첫 번째로 줄게, 난 안부만 묻는 데
한 시간이 걸려, 이제 나도 아네
Porsche를 사준다고 약속했었던 동네
친구도 아니고 사실은 잘 모른다고
표현해도 되는 사이, 너의 나이는?내?동생?친구
근데 long night,?short night, 돈?있냐고 해서
꿈이 뭔지 물어봤어, 사는 곳을 묻는 대신
무시하고 갈 줄 알았어, 나의 message
척 봐도 난 돈이 없는 학생, but 이 똥통 속에서
처음으로 대화 같은 대화, it's a random chat
뒤에서 너를 욕해, 소문이 소문을 부풀려
사람이 싫어, 이제 다 끝내고 싶대
그 말을 듣고 난 뒤에 숨을 불어넣듯 질문 세례
캐시퍼처럼 더 밝아지는 우리 text에
사실 별 내용은 없네 mumble rap
지금 보니 여태 내가 너의 꿈을 외우고 있어
기억이 날지 모르지만 가수라고 했고
바깥에서 자니까 많이 춥다고 했어
애늙은이 같은 난 책임 못질 말은 참고
제일 좋아하는 노래가 뭐냐니까
넌 김윤아의 going home

세 번째 편지를 쓰다
혹시 남자인가 했어
우린 얼굴도 모르니까 다 장난일 수도
혹은 넌 이미 세상에 없는 사람일 수도
실제일 수도 있는 십오 percent에 걸어
그때도 오늘도 즉 달라진 건 없어
난 나를 확인하고 싶어서일 수도 있어
손목에 팔찌 있는 사람과 사랑도 했어
그걸 특별히 여겼던 난 최악일 수도 있어
그래서 나에 대한 혐오감을 할부로
납부하다 자주 다칠 때도 있지만 안녕
상냥하게 웃으면서 말할 필요성을 느껴
적당히 햇빛 받고 적당히 젖으면서
해진 옷이 더 끌릴 때 딱
알아봐야 했어 나의 취향
과거 다 청산하고 새 출발 같은 개소리도 없어
안 굴러본 사람 없어 여기
취하면 안 취했다고 하는 사람들처럼

이젠 날 괴롭히는 게 줄었네, 세월이 약이랬지
바로 몇 개월 전만해도 소음에 깼지 잠을
저 앞은 몇 년째, 공사해도 똑같애
마치 내 mental처럼
여기저기 말이 많아서 대답만 하다가 간 세월
안전 주의 표지판 세워
하얀 천 덮어 놓고 어떤 일은 없던 일인 것처럼
억 단위를 벌어도 고칠 수 없는 하자가 됐어
과거를 들추면 내 경우엔 꽤나 심플
이혼 가정이었으니 결혼에는 겁이 나고
사람 대하는 법을 몰라, 노력은 내 동아줄
살려고 잡아서 어른 된 거잖아
마약은 피해 가길 이걸 듣는다면 만약
이젠 누구도 너의 밤을 살 수 없어, 잘자
난 그때 얘기했던 대로 음악 하게 됐으니
너도 네가 말했던 대로 집에 도착했기를",116.584,0.537,0.382,-9.918,0.408,0.3489,0.3408
Sandwiches (Feat. Zion.T),Wonstein,1KLXFanzOEeIYhfKr2jpwe,"Coffee shop에 파는 샌드위치는 왜
양배추가 너무 많아 감당이 안돼
많이 주고 싶은 마음은 매번 알아도
사실 나는 소스가 좀 더 필요해
저 화면 안에 갇혀 있는 사람들은 왜?
맛있는 걸 맛없다고
맛없는 걸 맛있다고
쓸데없이 헷갈리게 해
사실을 말하지 않는 건 익숙해

한숨 쉬고 던져놓게
다시 의자 앞에 숨 크게 들이쉬네
나지막히 들려오는 내 이름들에
Easy come, easy go
크게 반응 안 해
Yo, 예전에 나였음 베개에다 파묻었을
사소한 일들",77.938,0.474,0.727,-10.739,0.886,0.4596,0.398
Valentine (Feat. Min Jiwoon),Wonstein,7hnnB1g67ey0Agj43XAjBF,"늦은 아침은 역시 너와 나의
이케아 소파에서
햇살을 맞으며
살을 만지면
한 번도 쳐본 적이 없는
기타 멜로디가 나의 입에서
또?다른?방에서
우리 집 안에서

피곤할 테니까
큰 소릴 못 내지만
너를 보고 있는 나
너를 보고 있는 나
이건 내 문제니까
내일의 난 걱정 마
너를 보고 있는 나
이케아 소파에서

늦은 저녁에도 역시 너와 난
이케아 소파에서
인사를 나누며 잔을 기울여
한 번 더 느껴보고 싶은 너의 몸에
내 몸을 기대며
사랑을 속삭여
식을 때까지",144.58,0.385,0.568,-8.495,0.372,0.4894,0.4733
ALWAYS,YOON MIRAE,4LsMjCB4qt4RnWcJBiHrA6,"그대를 바라볼 때면
모든 게 멈추죠
언제부턴지 나도 모르게였죠
어느 날 꿈처럼 그대 다가와
내 맘을 흔들죠
운명이란 걸 나는 느꼈죠

어쩌다 내가 널 사랑했을까?
밀어내려 해도
내 가슴이 널 알아봤을까",110.014,0.771,0.804,-3.836,0.73,0.2486,0.2361
Say,YOON MIRAE,1DwTZcAyaCzl3NEXApFYsg,"햇살 가득 내리던 날도
난 늘 그늘 속에 숨어 있었지, mm
이 곳에선 내가 나로?살기엔
너무?빨리 알아 버렸던?걸까

가깝지만 너무 멀었어
몰래 보는 것도 숨이 차올라
혼자 두긴 너무 무거운 네 맘
그 전부가 나였으면 좋겠어",122.007,0.742,0.548,-5.741,0.31,0.2216,0.2089
Breath,YOON MIRAE,05ZsxONrFyGyrc8hu7EGWn,"내 주머니에 네 손이 있었을 때
그랬다 이맘때쯤
Coffee가 식어
Iced cappucino 수염 길어
거리마다 네가 생각나
괜히 네가 있을 것 같아
지나가는 사람들 사이 어딘가
조용히 너를 찾아봐

네가 준 목도리를 꺼내
냄새 맡다 웃었어 혼자
색은 바랬는데
아직 쓸만해, ha
Ooh, 그날의 눈처럼
Ha, 조용히 나에게 내려
잠시라도 널 느낄 수 있다면
추워도 괜찮아",124.995,0.502,0.379,-10.84,0.0373,0.309,0.3175
LAW (Prod. Czaer),YOON MIRAE,0VES0jpNQEdRpD31gYDIMe,"I'ma break it down like only I can do
Bitches talk shit but they never come through
When I come through, best believe it's over
Wanna be around me, but they get the cold shoulder
Don't make me say it, 'cause I already told ya
I'm the baddest chick, I done already showed ya
On my way to the top, mad 'cause you not
My song in the number one spot
Who's hot?

나 운율의 시라소니 마누라
관자놀이 를 밝히는 아우라
허리 밑에 손들은 잿가루가 될 테니
위로 들어 흔들어 다 나와 놀아
다같이 나눠 가져 지금의 짜릿함
모두가 하나되는 아릿다움  담
자 이제부터 미래가 시작된 다음
펼쳐져 갇혀 있던 너의 속마음",128.054,0.9,0.756,-4.428,0.55,0.5407,0.2139
Don't forget me (Prod. ROCOBERRY),YOON MIRAE,3Plg6ZQZeVSBUSp11zBXL5,"아무 말도 전할 수 없어
그저 난 고개만 숙여 발끝만을 봤지
그대 눈을 볼 자신이 없어서
멀어지는 그댈 바라만 보는데

가끔 또 연락은 하겠지
시간이 지나면 웃으며 인사하겠지
하지만 난 그댈 생각하겠지
그댄 나를 모두 잊어가겠지만",72.789,0.0923,0.353,-18.85,0.0759,0.3595,0.3595
Lost,YOON MIRAE,2t99t3b0ZaXcphyBMVUZY5,"불빛이 꺼진 세상을
지친 걸음을 홀로 걷는 나인 걸
난 어디로 가야 하나
짙은 어둠 속에 더 선명해진 건
이 계속되는 아픔은 끝이 없다는 것

내 손에 쥘 수 있는 건
다만 하나의 외로움뿐이었나 봐
늘 새롭게 반복되는
깊은 한숨 뒤에 또 알 수 있는 건
날 밀어내는 세상은 빛이 없다는 것",66.109,0.292,0.47,-9.899,0.168,0.3013,0.3013
Because of You,YOON MIRAE,5ZHGePJOSIbK5NezBAxBBJ,"네가 와 준 봄 날
모든 게 변한 날
마음을 빼앗겨
정신 없었지

햇빛 비쳐 반짝이던
네 여린 머리카락이
너무나 아름다워서 자꾸 눈물이 나

한번도 누굴 지금처럼 나
사랑한적 없어
달라졌어 다 너 하나 때문에

아침 오면 날 깨우는
네 목소리 그 체온
눈감은 채 가만히 있곤 해
꿈일지 몰라서

바쁜 하루가 낯선 거리가
사랑의 의미가
달라졌어 다 너 하나 때문에",173.982,0.832,0.442,-5.738,0.0385,0.2938,0.2702
ROBOT,Lee Young Ji,7KZPGcJo38YV1pIHCSOZh9,"Just wait
Wavin', wavin', wavin'
하나, 둘, 켜지는 사이렌
Tit-tat, racket
오감이 번질때
Body rockin' crazy
알려줄게
너는 마지막 내 오류 같아

I'm 'bout to jump in
You take my heart then never stop it
So I caught you in my frame
못 도망가게
""Cognition"" break it
다릴 덜-덜-떨어, 너무 toxic
난 몰라
Don't wanna wake up from your rainbow error",198.479,0.527,0.351,-7.804,0.775,0.1876,0.017
Small girl (feat. D.O.),Lee Young Ji,1AtFSBJibfaqfiOByQCwZ5,"If I cared about all those things that you care
Then I'm not yours
Yes, you're wasting all your time for some stupid things
Baby, I'm alrеady yours
You keep asking me ""Do I really suit you? Do I really look good?""
Girl, I don't undеrstand you
All you have to do is smiling at me like there’s no one interrupt us
’Cause that's all I need from you
Make that fingers, V, 수줍어 하지 말고 가까이
더 붙어 난 여기있어
니가 뭘 원하던 지간에 난 항상 똑같아
다른 조건은 애초에 없었어, will",150.085,0.643,0.597,-5.21,0.265,0.1925,0.0333
GO HIGH (Prod. by CODE KUNST),Lee Young Ji,3BthXz6vCOmvuufWICuSbF,"생각이 많은 밤
또 적어 내려가
난 뭐를 바라보며 걷는가에 대해
묻지 않아 출발점이 어디였는가에
대해 더 이상 신경 쓰지 않아
Drop it 내가 완전해 질 때까지
계속 pop it 또 이내 뭘
열등에 치여 힘없이 주저앉을 때면
Think about them
And never forget 'em
Pumped in to
내 지금 모든 걱정에
뜨거운 독려를 잔뜩 부어
녹아내리게 해
자연히 자리했던
기댈 곳들 있었기에
앞만 보고 달렸어도
든든해 매일
동정 아닌
동기 부여 줬네
품 내어줬네
들어 최고란 말도 함께
두서없는 투정
늘어놓아도 말해
너는 on the top of the game
그래서 힘이나 yeah, we did it
중요한 건 이미 이건 나 아닌 모두가 이룬 것
You got it? uh
Get money, get the fame
할수록 뇌리에 더욱 깊게 새길게
Shout out to
내겐 최소한의 예의
The Q, CODE KUNST
And ma fam, ma friends
돌려줄게 내가 받은 만큼 전부
잊지 않아 또 결국엔 믿게 됐어 나 자신을
Thank you all

예 난 욕심 없고
관심 없어
과한 건 딱 질색인 내 성격
난 지금 떴고
무대에 섰어
높아진 내 위친 많아져 겁도
주변엔 생겨 많은 사람 또
많은 유혹과 많은 상황 속
난 내 껄 지켜야 해 이건 for
Myself 코쿤 형 더콰 형 믿고
나는 move to the top 내 기준 (Oh, yeah)
에서 벌 만큼만 벌고 잠수 (Oh, yeah)
요즘 건망증 심해진 난 까먹어
가족 전화번호마저
But 안 돼 나는
No ice on my neck (Cce)
I’m on my way (Skrrt)
I love my A (Ay)
OMG 형들과 난 매일
게시판 말고 현실에서 swervin’
보여주기 인생 난 차라리 거질
택 (하지, 요즘 여기 사람들은 돈만 밝혀 근데 나보다 없대)
(Oh, yeah)
그냥 하고 싶은 거만 하다 보니
질투 섞인 말들이 뭐
조용해 겁쟁인
너 가기 전에 hol’up
뭐 할지부터 골러
Which one is better?
말뿐인 앤 걸러
옷 잘 입는 할아버지 나는 그걸로
Shout out to the JK형과 비지 형도

Everybody wanna be a star
그들이 뭐라 하던 be who you are
그토록 기다려온 때가 나에게 왔지
이젠 아무것도 두렵지않아
내 앞에 벽들을 뛰어넘어 my first flight
백조가 된 미운 오리 that's what I look like
하늘 위엔 나의 두 팔
높이 날아 올라가 until I be a star, yeah",96.771,0.606,0.541,-5.358,0.706,0.3556,0.2163
Day & Night (feat. Jay Park),Lee Young Ji,7IuuFQShxmy7zMZ3vZvMFj,"No I'm not okay
I'm just movin'
Till the end of the night
I don’t want to get a new thang
Just need one more opportunity
넌 절대 이해 못 해 don't test me
날 다 알고있다는 듯이 말해도
사랑은 못 해
원래 이래 난 oh oh oh
솔직하지 못해
불완전한 주제에 탐해 널
가끔 주체 하지 못해
영겁의 시간 아래 묶어두고파 널
Oh I can't live without you
더 눈이 멀기 전에 도망가 내게서
덕에 안 그래도 흐린
판단력이 더 탁해져 noooooo

멀리 떠나려고 해봐도
자석처럼 다시 날 잡아땡겨
볼 때 마다 느끼는 이 새로운
감정들 땜에 맘이 자꾸 생겨
낮 밤이 지나도 난 아파
가슴팍 난 맞은 것만 같애
보통 사자처럼 모두 날 봐
근데 니 앞에서 난 순한 양
Baby I just wanna roll with yah
품에 안겨봐 Wanna get a hold of yah
상처줘도 후회안해 ever knowing yah
Let be a little honest wanna love on yah
I just want you be ride and die
날 믿어 it'll be ok
낮이던 밤이던 together we spend the day",142.296,0.984,0.408,-5.277,0.148,0.3071,0.1095
"HUG (Feat. Zion.T, Wonstein) (Prod. by Slom)",Lee Young Ji,26rFtNk7TNkJuLGq021Pvc,"아마 자주 부르게 될 것 같진 않아 지금 이 노래
멋쩍게 웃어 보이는 것도 오늘은 그만할게
집?밖이?두려운 21살의 습관은?도태
반짝하고 사라지는 게 무서워 더 숨네
로그인
로그아웃
로그인
로그아웃
매일?밤새
하루 일과의 절반을
인터넷 세상과 함께해도
Nothin' changed
모든 건 여전해
넓은 침대나 비싼 월세의 집은
전혀 도움이 안 돼서
도망쳐야만 했어
뜨거운 라디에이터가
내 단점을 녹여주길 바랬어
너무 나약해 보이긴
죽기보다 더 싫어서
관대한 척 부러진 양 발로
어정쩡하게 서있었어
미안해
사실 난 lonely
모두가 날 다 좋아한대도 의심하곤 해
이걸 듣는 너는 날 안 싫어해도 돼
어차피 내가 날 제일 싫어하니까
Yes, I need a?

무대를 오르기 전
등골은 서늘해
눈이 내리는 건
저 바깥인데
스마일, 스마일, 스마일
당신이 웃는 걸 확인하면
내 표정도 진짜로 웃는 게 돼
다 추억이 되는거지
저 사람들의 언쟁
어쩔 땐 크라우드 펀딩 같아
이번에는 크레딧에다 이름을
올려야겠어 소재를 줬으니
피아노 치는 시늉하면서
멜로디도 다 썼어
미안해란 말도 줄인다니까
남 눈치 안 볼수록 네 작품은 큰 날개를 달 거야
잠깐을 못 참고 결국은 해버리고 마네
실시간 댓글에 달린 창의적 악플처럼
내 여친이 이영지였거나
남친이 원슈라면
브이 하고 찍은 사진 단 한 장만 보고
행복하겠다는 말은 못할 것 같아
오늘도 진심을 숨기고 팻말에 적은 말
It's free hug

내가 솔직한 가사를 쓰고 싶었던 건
솔직하지 못한 내가 너무 싫어서
또 내 목소리도 싫어서
누가 지적할 때면
외면하고 싶어서 괜히 핏대를 세워
연습해 볼게
살아가는 법을
딱 한 번만 나를 꽉 안아준다면
너의 위로는 나의 두 번째 어깨가 돼
튼튼한 부목이 되니까
부디",139.948,0.275,0.555,-11.975,0.262,0.2837,0.2266
Anemone,Lee Young Ji,6KJB9aBaZhTLTNH59WCxvg,"Yeah I, I, I, I need you 지금 right now
우연을 빙자 한
어색한 만남도 좋으니까 지금 만나
오랫동안 얽매여 너에게
참 지독히도 붙잡혀 느려진 내 시간
I don't need you
I don't need you
외쳐도 난
Can't get you out of my mind
Love is the only way to find myself
But I'm only blindly falling in love with you
거짓말 같은 낭만 한 스푼과
결핍을 아름답게 포장한 추억들을 담아
부스럭
너에게로
딱 한 발자국만
대답은 충분해 고갯짓으로만

너 때문에 찍은 물음표야 전부
살아가고 싶었던거지 표현답게 겁 없이
돌팔매질 네 가슴팍에 선 긋기
가루가 된 상황극에 배역 따윈 거두길
거푸집처럼 틀에 맞췄다면
우리 그만 본 시점부터 싹이 틀 과거
Act competition 이건 마치 술 취한 법
급한 모습 보이고 들통나버린 유사 tremble
우린 타이밍이 안 맞아
절대로 이루어질 수 없는
빛 바랜 사진의 반쪽
다른 사람 찾아 떠나가

뒷꿈치 까진 너의 발
무표정이 피흘린다
어디까지가 널 위함이야
무너지는 건 모험일까봐
애매함이 드리워진다
이 기분이 구겨진다
인간의 욕심 전례없는
그거 착각",83.101,0.636,0.527,-12.888,0.607,0.3338,0.276
"WITCH (Feat. Jay Park, So!YoON!) (Prod. by Slom)",Lee Young Ji,1v520W6rEa0nB2vvqAxnU3,"Okay, I'm a witch
You never reach
I'm a star 떴다 하면
Hit a milli
Take a pic
And tell ur friend
동네 자랑해도 이미 다 아는 내 소식
Yes, sir, I'm one of a kind
재주 부리는 꾼
난 굽힐 줄을 몰라
뭣 모르는 개구리들은
뭐가 자꾸 불안한지
힐끔힐끔 정신없이 불평불만
니 여자
니네 오빠
너 빼고 나를 아는 니 주변 모두가
나를 따라 춤을 추는데
왜 너만 blah, blah, blah
You trynna gaslight me?
너나 잘 해 네 단도리
날 찌르면 빨간 액체 대신 흘러 철면피
머리부터 발끝까지 싹 다
불 붙여봐
But I'm non-flammable
불길 위에서 dance

Yeah, luh
나의 위치 penthouse lookin' like a vampire
무서운 이야기, gather round the campfire
내가 한물갔다면, cappin' you a damn liar
손들 내 위치보다 높이 들어, get your hands H1GHR
Yeah, everybody, let's go party ladi dadi
They be talkin' the talk, 난 행동으로 말해
I be walkin' the walk, 내가 망하길 바래
왠지 몰라 세금 내는 수 어마해
수백 명의 직원 다뤄 회사 안에
It's Jay Park, Mr. 회장님
계속 올라가 never 제자리
I be skirrin' off like a Ferrari
어마해 나의 재산이
누가 위치와 상관없이 계속 베풀고
거침없이 도전해, yeah, that part
It goes Wonsoju 대표, MORE VISION 대표
이영지 and Jay Park, let's go

I'm 21 and I'm savage
Most pеople talkin' bout my value
With their standards
자극적인 TV 속
더 자극적인 생태계
말하지 않아도
모두가 암묵적인 단두대 위
Why you guys keep trynna being dramatic
작은 소녀의 발전이 너의 앞길을
막아선다는 피해의식
Nah, bitch
Put your tongue on the table
더러운 잣대 위
탭댄스 난 재미로
Witch, I'm that witch
That always get trophy
Uh, 내 시선은 위
못 따라와 내 꽁무니
어설프게 무너지느니
차라리 한 획을 긋지
죽더라도 이빨 꽉 깨물고
덤벼 뭐든지",108.754,0.912,0.526,-5.714,0.391,0.3385,0.183
ADHD (feat. Jambino),Lee Young Ji,4RswMuoJPErLTTdpYG5Qb0,"This is what I want, maybe
왜인지 유별나 이 밤바다는
숨이 턱 막힐듯한 처연함을 선물해주곤 해 밤마다
So this is what I want lately
자꾸 까먹네 너 이름이 뭐였더라?
Oh
Chit chat, well
아무렴 어때
I swear I’ll never?forget?about?your navy jacket

이건 not what I want
너의 쉴틈없는 캘린더
쓰러지겠어 가끔은 좀 쉬어
수많은 거짓말들을 믿어왔지만
너의 괜찮다는 말은 못믿겠어
이런저런 별의 별
외계인들의 멍청한 말들로
널 힘들게 못 두겠어
그것들 전부 저리 치우고 너만 신경켜
너 얘기 항상 듣고 있어
언제든 날 노래처럼 불러
I-I-I, 뭐가 널 복잡하게 만들어
A-a-마음안에 a-a-구멍은
너빼고 아무도 못 채워
A-a-먼저 아끼고 사랑해줘
너가 날 대해주는 것처럼
A-a-a, 이젠 헷갈릴 일 없어
더 이상
너는 너 그대로 온전하니까
마음은 땅처럼 흔들렸지만
쓰나미도 결국엔 지나갈
하나의 파도이니까
I don't wanna call you",126.043,0.75,0.589,-2.986,0.466,0.3143,0.2823
HATE ME (feat. youra) (prod. WOOGIE),Lee Young Ji,5L2dd0GWhy2rXeGp0g5pnT,"Baby we ain’t never going back
오늘 같은 날에는 바람에 기대
I will move your body to my side
같이 나누자 벅참
Oh, you can hold my hand if you need
You don't need to upset
For all the things I've got
아득해 보이는 미래도
그리 멀지만은 않아
So 파란만장 우리네 삶
I’ll eat it 너의 아둔함까지 다
덮어두고 떠나자
Don't say anything 챙겨 비자
Like where do we go oh no
Paint all these thoughts turn to the rainbow
Go, go 더 low 한 기분으로
맞이하는 내일 아침도
사랑을 해볼게 더 많이
I think we might be going on the right way
When we going through all those shitty day
I guеss
I don't need
We don't need that
지난날들의 비애
Our life is smooth like a buttеr

Nothing's wrong maybe
Focus on what we got
Can't stop us
While we blow up
동떨어진 비관
Look at my drip
흘러 낙관 icy
Then I gotta keep it right
이기적 행보 지탄받아도
무리 없이 전부 own it
Nothing wrong with us
손 떼 과거로부터
You don't need to hold your hate
너의 삶을 위해 더 모험해
절대적 가치를 믿어 always 두렵기에
우린 언제나 만들어 new wave",142.06,0.628,0.683,-6.512,0.356,0.3497,0.1399
